order_id,customer_id,product_id,order_date,quantity,amount
1,227,74,10-02-2024,-1,-100
2,239,81,10-02-2024,-1,1000
3,7,12,invalid,4,
4,287,70,01-01-2024,2,5000
5,200,19,invalid,-2,
6,47,41,10-02-2024,0,
7,66,53,01-01-2024,4,1000
8,104,29,,1,
9,11,70,15-03-2024,2,
10,124,59,invalid,4,1000
11,151,89,10-02-2024,-2,2000
12,228,64,01-01-2024,-1,-100
13,58,24,01-01-2024,3,
14,241,89,,-2,5000
15,128,16,invalid,2,1000
16,82,52,01-01-2024,3,
17,222,80,,-1,2000
18,206,6,10-02-2024,-2,2000
19,92,37,,1,5000
20,22,85,invalid,0,
21,138,4,,0,5000
22,184,98,01-01-2024,2,2000
23,25,92,01-01-2024,4,2000
24,47,38,15-03-2024,-1,-100
25,190,41,,-1,2000
26,136,92,10-02-2024,0,1000
27,35,81,invalid,-2,-100
28,192,14,15-03-2024,-1,5000
29,50,71,,1,2000
30,76,86,10-02-2024,1,1000
31,108,51,15-03-2024,-1,-100
32,294,65,01-01-2024,-1,1000
33,224,93,invalid,0,-100
34,126,52,,2,-100
35,247,95,10-02-2024,0,-100
36,76,30,01-01-2024,2,5000
37,84,57,15-03-2024,1,-100
38,129,79,invalid,2,-100
39,274,82,15-03-2024,0,1000
40,277,99,15-03-2024,-1,-100
41,133,30,10-02-2024,2,5000
42,220,98,01-01-2024,0,1000
43,28,42,,1,-100
44,55,11,10-02-2024,3,1000
45,81,27,invalid,2,5000
46,66,24,15-03-2024,1,1000
47,120,99,invalid,1,5000
48,285,39,10-02-2024,-2,2000
49,172,72,10-02-2024,3,-100
50,12,18,,2,5000
51,287,77,15-03-2024,0,-100
52,270,45,10-02-2024,2,5000
53,164,88,invalid,2,
54,212,87,,3,
55,160,12,invalid,4,
56,34,49,15-03-2024,1,5000
57,164,94,,1,-100
58,95,31,,1,
59,4,92,,1,-100
60,143,22,01-01-2024,3,5000
61,158,44,,0,-100
62,116,92,invalid,-1,-100
63,75,64,invalid,-2,
64,170,77,15-03-2024,4,1000
65,214,25,10-02-2024,4,2000
66,111,51,10-02-2024,1,5000
67,41,7,01-01-2024,1,5000
68,149,6,,-2,5000
69,250,24,01-01-2024,1,2000
70,119,19,15-03-2024,-1,1000
71,188,83,15-03-2024,4,-100
72,13,100,10-02-2024,2,5000
73,187,9,15-03-2024,-2,-100
74,281,36,,4,
75,2,40,invalid,0,
76,16,93,15-03-2024,4,
77,275,24,01-01-2024,-2,5000
78,294,48,,-1,2000
79,170,63,15-03-2024,3,5000
80,42,69,15-03-2024,0,
81,118,53,,2,
82,107,54,15-03-2024,1,5000
83,9,42,invalid,-2,2000
84,96,45,10-02-2024,0,2000
85,182,90,,-2,-100
86,118,14,01-01-2024,2,1000
87,37,29,15-03-2024,-2,
